text,label
 Springfield Capital Inc. v Grande Prairie,dec_name
"Appearances: K.D. Wakefield, Q.C. for the Applicant R.G. McVey, Q.C. (No Appearance) for the Respondent City of Grande Prairie Subdivision and Development Appeal Board J.S. Grundberg and A. Gulamhusein for the Respondent City of Grande Prairie C.M. Headon for the Respondent Signature Support Services Society",counsel
The Honourable Mr. Justice Frans Slatter,judge
"Conclusion  In conclusion, the applicant has failed to demonstrate an issue warranting permission to appeal, and the application is dismissed.",outcome
In the Court of Appeal of Albert,court
"The lands in question are a part of the Gateway Shopping Centre, a large regional shopping centre in Grande Prairie. The lands are covered by the Gateway Area Structure Plan, which was adopted to enable the development of the quarter-section of land on which the Gateway Shopping Centre is located. The lands were originally zoned “C2” under the previous land use bylaw, and are now zoned Arterial Commercial (CA). “Recycling Depot” is a permitted use.",facts
 Wainwright (Town) v. 876947 Ontario Ltd.,dec_name
"Appearances: R.R. Nelson for the Respondent, Town of Wainwright, et al. P.D. Gibson and L. Miller for the Appellant, 876947 Ontario Ltd. R.W. Wilson, Q.C. For the Respondent, G­M Pearson Environmental Management Ltd. C.D. MacLennan For the Respondent, Vaughn­Bassett Furniture Company, Incorporated and V­B/Williams Furniture Company, Inc.",counsel
The Court: The Honourable Madam Justice Marina Paperny The Honourable Mr. Justice Peter Martin The Honourable Madam Justice Doreen Sulym,judge
"As a result, I agree that the proper disposition of that appeal would be to visit the double costs, properly payable pursuant to r. 174, as against the defendant Pearson",outcome
In the Court of Appeal of Alberta,court
"On December 1, 2000, there was a fire at an incinerator in the Town of Wainwright which severely damaged the facility, owned by the Wainwright Regional Waste to Energy Authority (the “Authority”). The Authority sued the operator of the facility, G­M Pearson Environmental Management Ltd. (“Pearson”), as well as two waste management companies hired to transport and handle the hazardous waste that caused the fire, Custom Environmental Services Ltd. (“Custom”) and RPR Environmental (“RPR”).",facts
" C.H.S. v. Alberta (Child, Youth and Family Enhancement Act, Director)",dec_name
"Appearances: R.P. Lee for the Appellant G.A. Meikle, Q.C. and S.L. Bercov for the Respondent",counsel
The Court: The Honourable Mr. Justice Jean Côté,judge
"For that reason, we grant the appellants leave to amend their pleadings within 30 days to clear up the defects in relation to the constitutional torts.",outcome
In the Court of Appeal of Alberta,court
"The TGO in this case was obtained on August 2, 2002. It authorized the Director to assume guardianship over three brothers; age eleven, eight, and seven. C.S. is the parent and guardian of these children. The Director did not file a care plan at any point in relation to this TGO, yet maintained custody of the children beyond September 2, 2002, the date upon which the TGO purportedly became void based on this court’s ruling in T.S.",facts
 L.C. v. Alberta,dec_name
"Appearances: R.P. Lee for the Appellant G.A. Meikle, Q.C. and S.L. Bercov for the Respondent",counsel
The Court: The Honourable Mr. Justice Jean Côté,judge
" To the extent that the appellants have failed to make any such allegations in their pleadings, we will allow them leave to amend their Statement of Claim to fulfil this requirement. Accordingly, the appellants are given leave to amend their pleadings within 30 days to clear up the defects in relation to the constitutional torts.",outcome
In the Court of Appeal of Alberta,court
"This action is brought on behalf of E.C., her two siblings (D.C. and C.C.), and their mother and guardian, L.C. The Statement of Claim alleges that the Director improperly apprehended E.C. on June 19, 2003, approximately four months after her birth. The Director later 8/26/2016 CanLII ­ 2010 ABCA 14 (CanLII) http://www.canlii.org/en/ab/abca/doc/2010/2010abca14/2010abca14.html 3/7 obtained a temporary guardianship order (“TGO”) in relation to E.C. on May 28, 2004, but then failed to file a care plan as was required by the Child Welfare Act, S.A. 1984, c. C‑8.1 (the “Act”).",facts
 Dura­Lite Heat Transfer Products Ltd. v. CEDA Environmental Services,dec_name
"Appearances: L.G. Vogeli, J.D. Murphy, and S.A. Morgan for the Appellant H.D. Lloyd, Q.C., G.C. Peacock for the Respondent",counsel
The Court: The Honourable Mr. Justice Ronald Berger,judge
"In light of this conclusion, which is subject to deference on appeal, the trial judge’s analysis, that Dura­Lite’s level of knowledge was such that it fully appreciated the risk, is reasonable and we see no reason to overturn it on appeal. The appeal is dismissed.",outcome
In the Court of Appeal of Alberta,court
"On November 6, 2001, an industrial fire occurred at facilities operated by Dura­Lite Heat Transfer Products Ltd. [Dura­Lite], resulting in extensive damage. The fire started in a storage drum supplied by CEDA Environmental Services, operated by Wasteco Environmental Services Ltd. [Wasteco], which Dura­Lite used to temporarily store magnesium waste that was a byproduct to its industrial operations. Dura­Lite sued Wasteco in contract and in tort, seeking damages in excess of $16 million. The trial judge denied the claim. Dura­Lite appeals that decision.",facts
 R. v. Sherry,dec_name
Appearances: J.B. Dartana for the Respondent C.B. Davison for the Appellant,counsel
The Court: The Honourable Mr. Justice Ronald Berger,judge
The parties further agree that in all other respects the appeal of the Appellant should be dismissed. We accede to the consent judgment prayed for in the terms set out above.,outcome
In the Court of Appeal of Alberta,court
"The Appellant and Respondent are agreed that in relation to two counts to which the Appellant pleaded guilty and was convicted and sentenced, the Appellant should be permitted to withdraw his guilty pleas and the appeal should be allowed.",facts
 R. v. Park,dec_name
Appearances: D.C. Marriott for the Respondent (Appellant) D. Anderson for the Applicant (Respondent),counsel
The Court: The Honourable Mr. Justice Ronald Berger The Honourable Mr. Justice Keith Ritter,judge
"On that basis, and for those reasons, the application fails.",outcome
In the Court of Appeal of Alberta,court
"The Applicant is a graduate in law from the University of Alberta. He was employed as a lawyer from 1991 until July 2005, at which time he went on the Law Society’s inactive list. He deposes that the economic cost of his defence in the Courts below with respect to forty­one counts of fraud, one count of fraud for the benefit of a criminal organization, and one count of conspiracy to commit fraud, was approximately $300,000.",facts
 RIC New Brunswick Inc. v. Telecommunications Research Laboratories,dec_name
"Appearances: P.T. Linder, Q.C. for the Appellant J.J. Heelan, Q.C. for the Respondent Telecommunications Research Laboratories D.N. Tkachuk for the Respondent Alberta Treasury Branch",counsel
The Court: The Honourable Mr. Justice Ronald Berger,judge
"By Friday of next week Mr. Tkachuk will file a supplementary factum not to exceed 4 pages. Mr. Linder will have the right to respond by way of a further supplementary factum, not to exceed 3 pages.",outcome
In the Court of Appeal of Alberta,court
RIC was a secured creditor in the receivership of Guild Developments Inc. During that receivership an order was granted declaring that the respondents to this application had properly terminated certain leases that they had with Guild Developments,facts
 Tarrabain v. Wawanesa Mutual Insurance Company,dec_name
"Appearances: D.R. Syme, Q.C. For the Respondents (Applicants) R.G. Baril, Q.C. and K.K. Nand For the Appellant (Respondent)",counsel
The Court: The Honourable Mr. Justice Peter Costigan,judge
The appeal is dismissed.,outcome
In the Court of Appeal of Alberta,court
"On July 30th, 2006, the plaintiff was seriously injured in a motor vehicle accident. He was riding as a passenger in a motor vehicle operated by the defendant Kosta Athanasopoulos, and it is alleged that Athanasopoulos engaged in a road race with a motor vehicle operated by Khalled Tarrabain (“Khalled”), and owned by Ericksen Nissan Ltd. (“Ericksen”). Negligence is alleged against both operators.",facts
 P.O.T. v. B.E.M.,dec_name
"Appearances: G.F. Graham, Q.C. for the Appellant A.M. Vanin for the Respondent",counsel
The Court: The Honourable Mr. Justice Ronald Berger,judge
"Accordingly, the appeal must be dismissed.",outcome
In the Court of Appeal of Alberta,court
"The appellant and respondent met at university in Ottawa in 1990 and married in 1999. At the time of the marriage, the respondent was employed with his parents’ ski lift manufacturing business, while the appellant worked in the information technology field as a senior technical architect with Merrill Lynch Canada Inc. The couple have two children, a girl now aged eight and a boy aged seven. Shortly after the birth of their first child, the family moved from Barrie, Ontario to Canmore, Alberta to allow the respondent to accept a position as the Director of Operations of the Lake Louise ski hill.",facts
 Eng v. Eng,dec_name
Appearances: P.D. Fitzpatrick for the Respondent G.S. Solomon and D.J. Reed for the Appellants,counsel
The Court: The Honourable Mr. Justice Jean Côté,judge
The appeal is otherwise dismissed.,outcome
In the Court of Appeal of Alberta,court
" A master allowed Mr. Jimmy Eng’s summary judgment application and found that the Eng Family Trust was properly constituted and valid. He discharged the trust’s current trustee (David Ng, Mr. Eng’s son­in­law) and permitted Mr. Eng to appoint a replacement trustee.",facts
In the Court of Appeal of Alberta,court
 Alberta Teachers’ Association v. Alberta (Information and Privacy Commissioner),dec_name
